id	sex	GPA	Alcoholuse	alcatt	dadjob	momjob	dadclose	momclose	larceny	vandalism
1	1	5	2	3	1	2	1	1	1	3
2	1	0	4	2	1	2	3	4	0	0
3	1	3	2	3	1	2	2	2	0	2
4	1	2	2	1	1	2	1	2	3	2
5	2	3	6	2	1	1	2	1	1	2
6	2	3	3	0	1	2	1	2	0	0
7	1	1	2	0	1	2	3	1	0	5
8	1	5	6	3	1	2	6	2	0	1
9	2	1	5	0	1	1	3	3	1	4
10	2	3	2	1	1	1	1	2	1	0
11	2	3	6	2	2	2	1	2	0	1
12	2	2	3	3	1	2	4	2	1	1
13	2	3	4	4	1	1	1	1	0	0
14	2	2	7	3	1	2	2	2	0	2
15	1	1	1	2	1	1	1	1	0	1
16	1	3	4	0	1	2	2	2	0	0
17	1	5	6	4	1	2	0	0	1	5
18	2	0	6	1	1	1	3	2	0	3
19	1	0	3	2	1	2	3	1	1	0
20	2	2	5	3	1	1	1	2	1	4
21	2	3	3	3	1	2	2	1	2	3
22	1	2	6	2	2	2	2	1	2	3
23	2	1	4	0	1	2	5	1	0	1
24	1	3	5	6	1	2	5	6	0	1
25	1	0	6	1	1	2	0	0	0	3
26	2	4	4	3	1	2	1	2	1	0
27	2	3	6	2	1	2	1	1	0	2
28	2	2	9	1	1	2	2	3	1	2
29	1	0	5	1	1	2	1	1	1	4
30	2	1	5	0	2	2	1	0	0	0
31	2	0	3	0	1	1	1	2	1	3
32	2	2	7	1	1	2	2	3	0	4
33	1	3	3	3	1	2	1	0	1	3
34	2	0	2	2	1	2	1	2	0	3
35	2	2	3	2	1	1	5	2	0	0
36	1	4	4	3	1	1	3	1	0	0
37	2	1	5	2	1	2	1	0	2	2
38	2	3	3	1	1	1	2	3	2	0
39	2	1	6	1	1	1	5	1	0	1
40	1	2	3	2	1	2	1	1	1	1
41	2	2	6	3	1	2	1	4	0	1
42	2	2	6	3	1	2	1	3	2	2
43	1	0	5	2	1	1	5	2	2	3
44	2	2	3	2	1	2	2	3	3	3
45	2	0	2	0	1	1	1	4	0	1
46	1	2	6	1	1	1	1	1	0	4
47	1	2	4	2	1	1	1	0	2	1
48	2	1	7	1	2	2	5	1	1	1
49	2	2	2	1	1	1	3	5	1	0
50	2	2	3	3	1	2	3	2	0	1
51	2	5	4	2	1	1	0	2	1	2
52	1	1	3	5	1	1	0	2	2	3
53	2	2	1	0	1	2	4	2	1	0
54	2	2	8	1	1	2	3	2	0	0
55	2	0	6	0	1	2	0	1	0	1
56	1	1	2	1	2	2	1	2	0	4
57	1	2	3	1	1	2	6	2	2	3
58	2	2	2	1	2	2	0	2	3	0
59	2	5	2	2	1	1	3	0	3	3
60	2	1	4	0	1	1	1	1	1	0
61	2	0	5	0	1	2	3	3	0	0
62	2	1	1	1	1	1	2	2	1	0
63	2	2	4	0	1	1	2	1	1	3
64	1	0	4	1	2	1	2	2	1	2
65	2	2	3	3	1	2	2	3	2	2
66	2	3	8	0	2	2	3	4	1	3
67	1	3	5	1	1	1	2	2	2	1
68	2	1	2	3	2	2	2	1	1	5
69	1	2	5	0	1	2	3	5	0	3
70	2	1	3	1	1	2	3	1	4	2
71	2	1	4	2	1	2	4	2	1	1
72	1	3	7	0	2	1	1	3	1	2
73	2	1	5	3	1	2	5	3	0	1
74	2	2	2	3	1	2	0	1	1	2
75	2	1	2	2	2	2	1	2	1	3
76	2	3	4	1	1	1	2	2	1	3
77	2	1	4	1	1	1	3	1	2	4
78	2	2	7	3	1	2	2	7	0	1
79	1	1	3	0	2	2	2	1	4	0
80	1	2	2	1	1	2	0	6	0	1
81	2	2	1	0	1	2	0	2	0	2
82	2	5	3	2	1	2	0	4	1	2
83	2	1	7	0	1	2	0	0	2	0
84	2	1	2	0	1	1	1	1	2	2
85	2	4	2	0	1	2	1	3	1	5
86	2	1	2	0	1	1	0	2	1	1
87	1	2	4	3	1	2	0	4	3	1
88	1	3	1	1	1	2	2	2	1	0
89	1	2	4	2	1	2	1	4	1	3
90	2	2	3	3	1	1	0	4	0	1
91	2	2	0	0	1	1	3	3	1	0
92	1	2	4	3	1	2	2	3	1	2
93	1	0	3	5	1	2	1	1	0	3
94	1	2	4	3	1	2	2	2	0	1
95	1	2	2	2	1	1	2	2	0	0
96	2	0	3	0	1	1	3	3	0	0
97	2	0	4	1	1	2	2	1	0	1
98	1	2	6	2	1	2	3	1	0	1
99	2	1	5	4	1	2	2	2	0	1
100	1	2	11	1	1	2	2	3	1	5
101	2	0	3	1	1	2	1	0	0	2
102	2	1	1	1	1	2	1	1	0	2
103	1	3	4	5	1	2	1	2	3	1
104	2	5	3	1	1	2	2	2	2	0
105	1	3	4	2	2	2	3	2	2	1
106	2	0	1	3	1	2	6	0	1	0
107	2	1	5	1	1	2	6	3	3	2
108	1	3	4	3	1	1	0	5	0	6
109	1	4	7	0	1	2	1	0	1	2
110	2	2	3	0	1	2	5	2	2	3
111	1	2	3	2	1	1	0	4	2	1
112	1	3	3	1	1	2	0	0	0	3
113	2	3	3	5	1	2	3	2	1	2
114	1	3	5	0	1	2	1	1	1	3
